acrescentamento,acrescento.acrescimo.ampliacao.amplificacao.aumento.melhoramento.benfeitoria,substantivo masculino,a-cres-cen-ta-men-to
circunstanciado,rigoroso.especificado.minucioso,adjetivo,cir-cuns-tan-ci-a-do
impacientemente,sofregamente.nervosamente.irritadamente.ansiosamente,adverbio,im-pa-ci-en-te-men-te
antepassado,avito.ancestral.anciao.antigo.ascendente.avoengo.antecessor,adjetivo.substantivo masculino,an-te-pas-sa-do
inacreditavelmente,incrivelmente,adverbio,i-na-cre-di-ta-vel-men-te
correligionario,partidario.proselito.sectario,adjetivo.substantivo masculino,cor-re-li-gi-o-na-ri-o
ininteligibilidade,inteligibilidade,substantivo feminino,i-nin-te-li-gi-bi-li-da-de
internacionalmente,mundialmente,adverbio,in-ter-na-ci-o-nal-men-te
costumeiramente,constantemente.habitualmente.regularmente,adverbio,cos-tu-mei-ra-men-te
mobiliario,mobilia.mobilha,adjetivo.substantivo masculino,mo-bi-li-a-ri-o
desenrolar,estender.expandir.alongar.desenvolver.desdobrar.desenroscar,verbo pronominal.verbo transitivo direto.regular,de-sen-ro-lar
intransmissivel,intransferivel.intransitivo,adjetivo de dois generos,in-trans-mis-si-vel
cumprimentar,salvar.congratular.felicitar.saudar,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,cum-pri-men-tar
desapercebidamente,descuidosamente.inesperadamente.desavisadamente.incautamente,adverbio,de-sa-per-ce-bi-da-men-te
indefinidamente,interminavelmente,adverbio,in-de-fi-ni-da-men-te
suficientemente,abastadamente,adverbio,su-fi-ci-en-te-men-te
correspondencia,proporcao.relacao.conformidade.correlacao,substantivo feminino,cor-res-pon-den-ci-a
motocicleta,moto.motoca.motociclo,substantivo feminino,mo-to-ci-cle-ta
achincalhamento,achincalhe.achincalhacao,substantivo masculino,a-chin-ca-lha-men-to
trincheira,tranqueira,substantivo feminino,trin-chei-ra
