emboscada,armadilha.cilada.embuste.insidia,substantivo feminino,em-bos-ca-da
unico,sempar.singular.um.uno.incomparavel.impar,adjetivo,u-ni-co
repeticao,reduplicacao.devolucao.restituicao,substantivo de dois generos,re-pe-ti-cao
agucar,estimular.apontar.afiar.amolar.aparar.apurar.afunilar,verbo intransitivo.verbo pronominal.verbo transitivo direto.regular,a-gu-car
frango,polhastro,substantivo masculino,fran-go
pantano,aguacal.atascal.atoleiro.banhado.brejo.charco.lodacal.paul,substantivo masculino,pan-ta-no
pedra,calhau.pedregulho.rebo.seixo.pederneira.granizo.calculo.litiase,substantivo feminino,pe-dra
desligar,desagarrar.despegar.soltar.desatrelar.desenganchar.desengatar.desprender,verbo bitransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,des-li-gar
rotacao,circuito.giro.volta,substantivo feminino,ro-ta-cao
vaso,frasco.alcatruz.jarra.jarro,substantivo masculino,va-so
chapeu,boina.bone.capelo,substantivo masculino,cha-peu
casal,par.parelha.vilarejo.lugarejo.povoado,adjetivo de dois generos.substantivo masculino,ca-sal
protecao,fautoria.abrigo.asilo.garantia.capa.ajuda.auxilio.socorro.aba.custodia.quartel.tutela.egide.favor.refugio.auspiciar.paladio.patrocinio.pistolao.escora.amparo.apoio.arrimo.fomento.agasalho.bafejo.defesa.tutoria,substantivo feminino,pro-te-cao
quadrado,quadro.quadrilatero.quadrangulo,adjetivo.substantivo masculino,qua-dra-do
casar,matrimoniar.reunir.agregar.associar,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.verbo transitivo indireto.regular,ca-sar
pegada,peugada.pista.encalco.indignacao.rasto.rastro.treita.trilha,substantivo feminino,pe-ga-da
laco,lacada.no.uniao.vinculo.prisao.alianca.enlacadura,substantivo masculino,la-co
berinjela,beringela,substantivo feminino,be-rin-je-la
verruga,caruncula.condiloma,substantivo feminino,ver-ru-ga
fogo,incendio.lume.queima.queimada.queimacao,substantivo masculino,fo-go
pulso,punho.carpo.munheca,substantivo masculino,pul-so
bocejo,oscitacao.sopro,substantivo masculino,bo-ce-jo
ferida,chaga.ferimento.lesao,substantivo feminino,fe-ri-da
fuga,escapatoria.evasiva.evasao.subterfugio.tergiversacao,substantivo feminino,fu-ga
fossil,antigo.antiquado.arcaico.obsoleto.ultrapassado,adjetivo de dois generos.substantivo masculino,fos-sil
surdo,mouco,adjetivo.substantivo masculino,sur-do
reporter,escritor.plumitivo.redactor.jornalista.noticiarista,substantivo de dois generos,re-por-ter
prato,passadio.alimentacao.sustento.iguaria.chato.achatado,adjetivo.substantivo masculino,pra-to
cadaver,defunto.morto.sucumbido.corpo,substantivo masculino,ca-da-ver
chifre,chavelho.corno.galho,substantivo masculino,chi-fre
cranio,cabeca.caveira,adjetivo.substantivo masculino,cra-ni-o
ateu,descrente.ateista,adjetivo.substantivo masculino,a-teu
china,cabocla.mulata,adjetivo de dois generos.substantivo de dois generos,chi-na
preparar,alinhavar.arranjar.arrumar.colocar.dispor.organizar.ajeitar.amaneirar,verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,pre-pa-rar
mes,salario.mensal,substantivo masculino,mes
linha,risca.risco.traco,substantivo feminino,li-nha
pato,parro.patureba.idiota,adjetivo de dois generos.substantivo de dois generos,pa-to
cidade,capital.municipio.povoacao.centro,substantivo feminino,ci-da-de
laje,loisa.campa.lousa.lapide,substantivo feminino,la-je
estrutura,esqueleto.arcaboico.arcabouco.armacao.carcaca.base,substantivo feminino,es-tru-tu-ra
infantil,candido.frivolo.ingenuo.inocente.pueril,adjetivo de dois generos.substantivo masculino,in-fan-til
enfeite,adereco.adorno.atavio.ornamento,substantivo masculino,en-fei-te
soldar,prender.ligar.unir.encanar.aglutinar,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,sol-dar
injecao,forca.animo.estimulo.seringa,substantivo feminino,in-je-cao
rancho,fazenda.herdade.quinta,substantivo masculino,ran-cho
negativo,nao.nunca.jamais.contrario.inconveniente.desfavoravel.prejudicial.nocivo.malefico.cetico.pessimista.derrotista.inutil.vao.ineficaz.restritivo.proibitivo.diminutivo,adjetivo.adverbio.substantivo masculino,ne-ga-ti-vo
hospital,hospicio.sanatorio.enfermaria.nosocomio,adjetivo de dois generos.substantivo masculino,hos-pi-tal
tela,painel.pintura.quadro,substantivo feminino,te-la
marido,esposo,substantivo masculino,ma-ri-do
indiano,indu,adjetivo.substantivo masculino,in-di-a-no
almanaque,efemeride.anuario.calendario.folhinha,substantivo masculino,al-ma-na-que
arma,espingarda.expediente.punhal.revolver.venabulo.recurso.carabina,substantivo feminino,ar-ma
continuar,proceder.progredir.prosseguir.avancar.seguir,verbo intransitivo.verbo predicativo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo indireto.regular,con-ti-nu-ar
pendurar,estender.pender.suspender.dependurar,verbo bitransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,pen-du-rar
lembrancas,cortesias.cumprimentos.recomendacoes,substantivo feminino plural,lem-bran-cas
vegetal,planta,adjetivo de dois generos.substantivo masculino,ve-ge-tal
significado,acepcao.sentido.significacao.conceito.nocao.definicao,substantivo masculino,sig-ni-fi-ca-do
candelabro,lampadario.lustre,substantivo masculino,can-de-la-bro
joia,excelente.perfeito.placa.entrada.peca.sinal.bom.beleza.joia,adjetivo de dois generos.substantivo feminino,joi-a
laringe,garganta,substantivo de dois generos,la-rin-ge
serrar,filar.tracar.cortar.separar,verbo intransitivo.verbo transitivo direto.regular,ser-rar
oleo,azeite,substantivo masculino,o-le-o
proverbio,adagio.anexim.apotegma.ditado.dito.maxima.pensamento.aforismo,substantivo masculino,pro-ver-bi-o
riso,risada.hilaridade,substantivo masculino,ri-so
etiqueta,distico.letreiro.rotulo,substantivo feminino,e-ti-que-ta
horizonte,perspectiva.porvir.ambito.panorama,substantivo masculino,ho-ri-zon-te
depressao,abatimento.abaixamento.humilhacao,substantivo feminino,de-pres-sao
boato,balela.rumor.mexerico.coscuvilhice,substantivo masculino,bo-a-to
estrangeiro,estranho.exotico.adventicio.advena.alienigena.forasteiro,adjetivo.substantivo masculino,es-tran-gei-ro
barbeiro,figaro,adjetivo.substantivo masculino,bar-bei-ro
aviador,aeronauta,adjetivo.substantivo masculino,a-vi-a-dor
gato,descuido.engano.erro.gancho.grampo.lapso.felino.grapa.gambiarra.gatuno.gatao,substantivo masculino,ga-to
comprimido,apertado,adjetivo.substantivo masculino,com-pri-mi-do
bolha,ampola.borbulha.empola,adjetivo de dois generos.substantivo de dois generos,bo-lha
carteira,banca.mesa.secretaria,substantivo feminino,car-tei-ra
fracao,parte.parcela.pedaco.divisao.separacao.quebra,substantivo feminino,fra-cao
horoscopo,prenuncio.pressagio.previsao.profecia.prognostico.augurio.horoscopio.vaticinio,substantivo masculino,ho-ros-co-po
multiplicacao,proliferacao.propagacao.aumento.reproducao.difusao.desdobramento,substantivo feminino,mul-ti-pli-ca-cao
amendoim,mendubi,substantivo masculino,a-men-do-im
arco,circulo.roda,substantivo masculino,ar-co
sentir,apreciar.compreender.lamentar.perceber.ter.magoar.pressentir.ponto de vista.intuir.adivinhar.entender,substantivo masculino.verbo intransitivo.verbo pronominal.verbo transitivo direto.irregular,sen-tir
trombeta,corneta.tuba,substantivo de dois generos,trom-be-ta
padre,arcebispo.clerigo.prior.paroco.vigario,substantivo masculino,pa-dre
vicio,mania.perversao.pecado.depravacao.defeito,substantivo masculino,vi-ci-o
diferenciar,distinguir.diferencar.discernir.discriminar,verbo bitransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,di-fe-ren-ci-ar
coelho,cacapo.laparo,adjetivo.substantivo masculino,co-e-lho
haste,bastao.bordao.cajado.chibata.mastro.pau.vara.viga,substantivo feminino,has-te
vapor,exalacao.fumo,substantivo masculino,va-por
enviar,expedir.comunicar.legar.remeter.transmitir,verbo bitransitivo.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,en-vi-ar
neto,limpido.nitido,adjetivo.substantivo masculino,ne-to
oceano,mar,adjetivo.substantivo masculino,o-ce-a-no
teatro,comedia,substantivo masculino,te-a-tro
clava,cachamorra.maca.tacape,substantivo feminino,cla-va
vara,mastro.haste.cajado.bordao.bastao.vergasta.verdasca.chibata.pau.viga,substantivo feminino,va-ra
virgem,intacto.inviolado,adjetivo de dois generos.substantivo de dois generos,vir-gem
narracao,historia.conto.narrativa,substantivo feminino,nar-ra-cao
ima,imame,substantivo masculino,i-ma
rechonchudo,anafado.gordo.gorducho.assoprado,adjetivo,re-chon-chu-do
barato,baixo,adjetivo.adverbio.substantivo masculino,ba-ra-to
tocha,archote.brandao.facho.fogareu,substantivo feminino,to-cha
valor,importancia.merito.preco.prestimo.valia.legitimidade.estima.consideracao.relevancia,substantivo masculino,va-lor
fio,amarrilho.linha.filamento.corte.cordel.gume,substantivo masculino,fi-o
cornija,coronide,substantivo feminino,cor-ni-ja
lixeira,esterqueira.alfurja.monturo,substantivo feminino,li-xei-ra
albergue,estalagem.pousada.albergaria.hospedagem.hospedaria,substantivo masculino,al-ber-gue
brasileiro,brasilio.brasiliano.brasilico,adjetivo.substantivo masculino,bra-si-lei-ro
perguntar,pedir.demandar.inquirir.interrogar.solicitar.indagar.investigar.questionar,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo indireto.regular,per-gun-tar
folha,esgalho.penca,substantivo feminino,fo-lha
mensagem,advertencia.aviso.recado,substantivo feminino,men-sa-gem
bone,boina.capelo.chapeu,substantivo masculino,bo-ne
portatil,maneiro.manejavel.versatil,adjetivo de dois generos,por-ta-til
nave,navio.templo,substantivo feminino,na-ve
procurar,esforcar.perseguir.pesquisar.atrair.investigar.buscar,verbo intransitivo.verbo transitivo direto.verbo transitivo direto e indireto.verbo transitivo indireto.regular,pro-cu-rar
roxo,purpureo.violaceo.inquieto.ansioso.desejoso,adjetivo.substantivo masculino,ro-xo
